2024-05-16 23:00:54.809 [info] Extension host with pid 41060 started
2024-05-16 23:00:54.809 [info] Skipping acquiring lock for /home/thomas/.config/Code - OSS/User/workspaceStorage/348a64d92f982e7dd126bdb672345c01.
2024-05-16 23:00:54.832 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-05-16 23:00:54.842 [info] ExtensionService#_doActivateExtension christian-kohler.path-intellisense, startup: true, activationEvent: '*'
2024-05-16 23:00:54.872 [info] ExtensionService#_doActivateExtension formulahendry.auto-close-tag, startup: true, activationEvent: '*'
2024-05-16 23:00:54.876 [info] ExtensionService#_doActivateExtension formulahendry.auto-rename-tag, startup: true, activationEvent: '*'
2024-05-16 23:00:54.926 [info] ExtensionService#_doActivateExtension s-nlf-fh.glassit, startup: true, activationEvent: '*'
2024-05-16 23:00:54.962 [info] ExtensionService#_doActivateExtension wayou.vscode-todo-highlight, startup: true, activationEvent: '*'
2024-05-16 23:00:55.076 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-05-16 23:00:55.202 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-05-16 23:00:55.340 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-05-16 23:00:55.422 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-05-16 23:00:55.493 [info] Eager extensions activated
2024-05-16 23:00:55.495 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-05-16 23:00:55.524 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-05-16 23:00:55.527 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-05-16 23:00:55.552 [info] ExtensionService#_doActivateExtension bradlc.vscode-tailwindcss, startup: false, activationEvent: 'onStartupFinished'
2024-05-16 23:00:55.625 [info] ExtensionService#_doActivateExtension Catppuccin.catppuccin-vsc, startup: false, activationEvent: 'onStartupFinished'
2024-05-16 23:00:55.632 [info] ExtensionService#_doActivateExtension Codeium.codeium, startup: false, activationEvent: 'onStartupFinished'
2024-05-16 23:00:56.062 [info] ExtensionService#_doActivateExtension cyrilletuzi.angular-schematics, startup: false, activationEvent: 'onStartupFinished'
2024-05-16 23:00:56.565 [info] ExtensionService#_doActivateExtension dbaeumer.vscode-eslint, startup: false, activationEvent: 'onStartupFinished'
2024-05-16 23:00:56.631 [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
2024-05-16 23:00:56.746 [info] ExtensionService#_doActivateExtension PKief.material-icon-theme, startup: false, activationEvent: 'onStartupFinished'
